Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2018);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Publisher;Coverage;Categories
1;19434;MMWR. Recommendations and reports : Morbidity and mortality weekly report. Recommendations and reports / Centers for Disease Control;journal;10575987, 15458601;48,894;Q1;134;3;12;559;1043;12;86;186,33;United States;Centers for Disease Control and Prevention (CDC);1990-ongoing;"Epidemiology (Q1); Health Information Management (Q1); Health (social science) (Q1); Health, Toxicology and Mutagenesis (Q1); Medicine (miscellaneous) (Q1)"
2;71056;MMWR. Surveillance summaries : Morbidity and mortality weekly report. Surveillance summaries / CDC;journal;15458636, 15460738;18,375;Q1;90;14;56;851;1452;55;37,11;60,79;United States;Centers for Disease Control and Prevention (CDC);2002-ongoing;"Epidemiology (Q1); Health Information Management (Q1); Health (social science) (Q1); Health, Toxicology and Mutagenesis (Q1)"
3;12137;Journal of Statistical Software;journal;15487660;17,569;Q1;115;69;265;2878;6630;265;10,3;41,71;United States;University of California at Los Angeles;1996-ongoing;"Software (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)"
4;40944;Genome Biology;journal;1474760X, 14747596;9,867;Q1;207;229;803;12124;8933;709;12,16;52,94;United Kingdom;BioMed Central;2000-ongoing;"Cell Biology (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Genetics (Q1)"
5;14204;Nucleic Acids Research;journal;03051048, 13624962;8,636;Q1;452;1169;4058;57749;45067;3975;11,14;49,4;United Kingdom;Oxford University Press;1974-ongoing;Genetics (Q1)
6;110092;MMWR. Morbidity and mortality weekly report;journal;01492195, 1545861X;7,695;Q1;182;363;1171;2144;8568;679;14,4;5,91;United States;US Department of Health and Human Services;1981-ongoing;"Epidemiology (Q1); Health Information Management (Q1); Health (social science) (Q1); Health, Toxicology and Mutagenesis (Q1); Medicine (miscellaneous) (Q1)"
7;6200180159;World Psychiatry;journal;20515545, 17238617;7,559;Q1;70;99;279;2985;2271;106;24,03;30,15;United States;Wiley-Blackwell;2007-ongoing;"Psychiatric Mental Health (Q1); Psychiatry and Mental Health (Q1)"
8;24769;Materials Today;journal;13697021, 18734103;7,392;Q1;138;94;512;10020;3628;154;19,5;106,6;Netherlands;Elsevier BV;2002-ongoing;"Condensed Matter Physics (Q1); Materials Science (miscellaneous) (Q1); Mechanical Engineering (Q1); Mechanics of Materials (Q1)"
9;21100265444;The Lancet Global Health;journal;2214109X;7,367;Q1;53;326;842;5302;3755;204;16,37;16,26;United Kingdom;Elsevier BV;2013-ongoing;Medicine (miscellaneous) (Q1)
10;28677;Living Reviews in Relativity;journal;14338351;7,304;Q1;75;7;13;3063;256;13;24,2;437,57;Germany;Albert Einstein Institut;2000-ongoing;Physics and Astronomy (miscellaneous) (Q1)
11;6400153126;Theoretical Economics;journal;15557561;7,086;Q1;23;44;104;1352;251;104;2,52;30,73;United States;Wiley-Blackwell;2007-ongoing;Economics, Econometrics and Finance (miscellaneous) (Q1)
12;4700152228;Molecular Systems Biology;journal;17444292;7,04;Q1;127;65;191;3963;1501;171;9,58;60,97;United States;Wiley-Blackwell;2005-ongoing;"Agricultural and Biological Sciences (miscellaneous) (Q1); Applied Mathematics (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Computational Theory and Mathematics (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Information Systems (Q1); Medicine (miscellaneous) (Q1)"
13;21100201068;Cell Reports;journal;22111247;6,635;Q1;108;1290;3056;64874;24499;2969;7,7;50,29;United States;Cell Press;2012-ongoing;Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1)
