"Journal title","ISSN","eISSN","Publisher name","Publisher address"
"2D MATERIALS","2053-1583","2053-1583","IOP PUBLISHING LTD","TEMPLE CIRCUS, TEMPLE WAY, BRISTOL, ENGLAND, BS1 6BE"
"3 BIOTECH","2190-572X","2190-5738","SPRINGER HEIDELBERG","TIERGARTENSTRASSE 17, HEIDELBERG, GERMANY, D-69121"
"3D PRINTING AND ADDITIVE MANUFACTURING","2329-7662","2329-7670","MARY ANN LIEBERT, INC","140 HUGUENOT STREET, 3RD FL, NEW ROCHELLE, USA, NY, 10801"
"4OR-A QUARTERLY JOURNAL OF OPERATIONS RESEARCH","1619-4500","1614-2411","SPRINGER HEIDELBERG","TIERGARTENSTRASSE 17, HEIDELBERG, GERMANY, D-69121"
"AAPG BULLETIN","0149-1423","1558-9153","AMER ASSOC PETROLEUM GEOLOGIST","1444 S BOULDER AVE, PO BOX 979, TULSA, USA, OK, 74119-3604"
"AAPS JOURNAL","1550-7416","1550-7416","SPRINGER","ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004"
"AAPS PHARMSCITECH","1530-9932","1530-9932","SPRINGER","ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004"
"AATCC JOURNAL OF RESEARCH","2330-5517","2330-5517","AMER ASSOC TEXTILE CHEMISTS COLORISTS-AATCC","1 DAVID DR, PO BOX 12215, RES TRIANGLE PK, USA, NC, 27709"
"AATCC REVIEW","1532-8813","1532-8813","AMER ASSOC TEXTILE CHEMISTS COLORISTS-AATCC","1 DAVID DR, PO BOX 12215, RES TRIANGLE PK, USA, NC, 27709"
"ABDOMINAL RADIOLOGY","2366-004X","2366-0058","SPRINGER","ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004"
"ABHANDLUNGEN AUS DEM MATHEMATISCHEN SEMINAR DER UNIVERSITAT HAMBURG","0025-5858","1865-8784","SPRINGER HEIDELBERG","TIERGARTENSTRASSE 17, HEIDELBERG, GERMANY, D-69121"
"ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY","0065-7727","","AMER CHEMICAL SOC","1155 16TH ST, NW, WASHINGTON, USA, DC, 20036"
"ACADEMIC EMERGENCY MEDICINE","1069-6563","1553-2712","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774"
"ACADEMIC MEDICINE","1040-2446","1938-808X","LIPPINCOTT WILLIAMS & WILKINS","TWO COMMERCE SQ, 2001 MARKET ST, PHILADELPHIA, USA, PA, 19103"
"ACADEMIC PEDIATRICS","1876-2859","1876-2867","ELSEVIER SCIENCE INC","STE 800, 230 PARK AVE, NEW YORK, USA, NY, 10169"
"ACADEMIC RADIOLOGY","1076-6332","1878-4046","ELSEVIER SCIENCE INC","STE 800, 230 PARK AVE, NEW YORK, USA, NY, 10169"
"ACAROLOGIA","0044-586X","2107-7207","ACAROLOGIA-UNIVERSITE PAUL VALERY","SERVICES PUBLICATIONS, 17 REU ABBE DE L EPEE, MONTPELLIER, FRANCE, 34090"
"ACCOUNTABILITY IN RESEARCH-POLICIES AND QUALITY ASSURANCE","0898-9621","1545-5815","TAYLOR & FRANCIS INC","530 WALNUT STREET, STE 850, PHILADELPHIA, USA, PA, 19106"
"ACCOUNTS OF CHEMICAL RESEARCH","0001-4842","1520-4898","AMER CHEMICAL SOC","1155 16TH ST, NW, WASHINGTON, USA, DC, 20036"
"ACCREDITATION AND QUALITY ASSURANCE","0949-1775","1432-0517","SPRINGER","ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004"
"ACI MATERIALS JOURNAL","0889-325X","1944-737X","AMER CONCRETE INST","38800 COUNTRY CLUB DR, FARMINGTON HILLS, USA, MI, 48331"
"ACI STRUCTURAL JOURNAL","0889-3241","1944-7361","AMER CONCRETE INST","38800 COUNTRY CLUB DR, FARMINGTON HILLS, USA, MI, 48331"
"ACM COMPUTING SURVEYS","0360-0300","1557-7341","ASSOC COMPUTING MACHINERY","2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701"
"ACM JOURNAL ON COMPUTING AND CULTURAL HERITAGE","1556-4673","1556-4711","ASSOC COMPUTING MACHINERY","2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701"
"ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS","1550-4832","1550-4840","ASSOC COMPUTING MACHINERY","2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701"
"ACM SIGCOMM COMPUTER COMMUNICATION REVIEW","0146-4833","1943-5819","ASSOC COMPUTING MACHINERY","2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701"
"ACM TRANSACTIONS ON ALGORITHMS","1549-6325","1549-6333","ASSOC COMPUTING MACHINERY","2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701"
"ACM TRANSACTIONS ON APPLIED PERCEPTION","1544-3558","1544-3965","ASSOC COMPUTING MACHINERY","2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701"
"ACM TRANSACTIONS ON ARCHITECTURE AND CODE OPTIMIZATION","1544-3566","1544-3973","ASSOC COMPUTING MACHINERY","2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701"
"ACM TRANSACTIONS ON ASIAN AND LOW-RESOURCE LANGUAGE INFORMATION PROCESSING","2375-4699","2375-4702","ASSOC COMPUTING MACHINERY","2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701"
"ACM TRANSACTIONS ON AUTONOMOUS AND ADAPTIVE SYSTEMS","1556-4665","1556-4703","ASSOC COMPUTING MACHINERY","2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701"
"ACM TRANSACTIONS ON COMPUTATIONAL LOGIC","1529-3785","1557-945X","ASSOC COMPUTING MACHINERY","2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701"
"ACM TRANSACTIONS ON COMPUTER-HUMAN INTERACTION","1073-0516","1557-7325","ASSOC COMPUTING MACHINERY","2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701"
"ACM TRANSACTIONS ON COMPUTER SYSTEMS","0734-2071","1557-7333","ASSOC COMPUTING MACHINERY","2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701"
"ACM TRANSACTIONS ON COMPUTING EDUCATION","1946-6226","1946-6226","ASSOC COMPUTING MACHINERY","2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701"
"ACM TRANSACTIONS ON DATABASE SYSTEMS","0362-5915","1557-4644","ASSOC COMPUTING MACHINERY","2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701"
"ACM TRANSACTIONS ON DESIGN AUTOMATION OF ELECTRONIC SYSTEMS","1084-4309","1557-7309","ASSOC COMPUTING MACHINERY","2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701"
"ACM TRANSACTIONS ON EMBEDDED COMPUTING SYSTEMS","1539-9087","1558-3465","ASSOC COMPUTING MACHINERY","2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701"
"ACM TRANSACTIONS ON GRAPHICS","0730-0301","1557-7368","ASSOC COMPUTING MACHINERY","2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701"
"ACM TRANSACTIONS ON INFORMATION SYSTEMS","1046-8188","1558-2868","ASSOC COMPUTING MACHINERY","2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701"
"ACM TRANSACTIONS ON INTELLIGENT SYSTEMS AND TECHNOLOGY","2157-6904","2157-6912","ASSOC COMPUTING MACHINERY","2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701"
