"Journal title","ISSN","eISSN","Publisher name","Publisher address"
"3C EMPRESA","2254-3376","2254-3376","AREA INNOVACION & DESARROLLO","C/ELS ALZAMORA NO 17, ALCOY, ALICANTE, SPAIN, 03802"
"3C TECNOLOGIA","2254-4143","2254-4143","3CIENCIAS","C/ SANTA ROSA 15, ALCOY, SPAIN, 03802"
"3C TIC","2254-6529","2254-6529","AREA INNOVACION & DESARROLLO","C/ELS ALZAMORA NO 17, ALCOY, ALICANTE, SPAIN, 03802"
"3L-LANGUAGE LINGUISTICS LITERATURE-THE SOUTHEAST ASIAN JOURNAL OF ENGLISH LANGUAGE STUDIES","0128-5157","2550-2247","PENERBIT UNIV KEBANGSAAN MALAYSIA","PENERBIT UNIV KEBANGSAAN MALAYSIA, FAC ECONOMICS & MANAGEMENT, BANGI, MALAYSIA, SELANGOR, 43600"
"452 F-REVISTA DE TEORIA DE LA LITERATURA Y LITERATURA COMPARADA","","2013-3294","UNIV BARCELONA, FACULTAD FILOLOGIA","GRAN VIA DE LES CORTS CATALANES, 585, BARCELONA, SPAIN, 08007"
"AACA DIGITAL","1988-5180","1988-5180","ASOC ARAGONESA CRITICOS ARTE","ASOC ARAGONESA CRITICOS ARTE, HUESCA, SPAIN, 00000"
"AACN ADVANCED CRITICAL CARE","1559-7768","1559-7776","AMER ASSOC CRITICAL CARE NURSES","101 COLUMBIA, ALISO VIEJO, USA, CA, 92656"
"A & A PRACTICE","2325-7237","2325-7237","LIPPINCOTT WILLIAMS & WILKINS","TWO COMMERCE SQ, 2001 MARKET ST, PHILADELPHIA, USA, PA, 19103"
"ABAKOS","2316-9451","2316-9451","PONTIFICIA UNIV CATOLICA MINAS GERAIS","DEPT CIENCIAS BIOLOGICAS, AV DOM JOSE GASPAR 500, CORACAO EUCARISTICO, CEP: 30.535-610, BELO HORIZONTE, BRAZIL, MG, 00000"
"ABANICO VETERINARIO","2007-4204","2448-6132","SERGIO MARTINEZ GONZALEZ","TEZONTLE 171 PEDREGAL SAN JUAN, TEPIC NAYARIT, MEXICO, C P 63164"
"ABCD-ARQUIVOS BRASILEIROS DE CIRURGIA DIGESTIVA-BRAZILIAN ARCHIVES OF DIGESTIVE SURGERY","0102-6720","2317-6326","COLEGIO BRASILEIRO CIRURGIA DIGESTIVA-CBCD","AV BRIGADEIRO LUIZ ANTONIO, 278-6-SALAS 10 E 11, SAO PAULO SP, BRAZIL, 01318-901"
"ABE JOURNAL","2275-6639","2275-6639","INVISU-CNRS-INHA, INST NAT HISTOIRE ART","2 RUE VIVIENNE, PARIS, FRANCE, 75002"
"ABORIGINAL HISTORY","0314-8769","1837-9389","AUSTRALIAN NATL UNIV, DEPT HISTORY","J B CHIFLEY BLDG NO 15, CANBERRA, AUSTRALIA, ACT  0200"
"ABORIGINAL POLICY STUDIES","1923-3299","1923-3299","UNIV ALBERTA","DEPT SOCIOLOGY, EDMONTON, CANADA, ALBERTA, T6G 2E1"
"ABRIU-ESTUDOS DE TEXTUALIDADE DO BRASIL GALICIA E PORTUGAL","2014-8526","2014-8534","UNIV BARCELONA, FACULTAD FILOLOGIA","GRAN VIA DE LES CORTS CATALANES, 585, BARCELONA, SPAIN, 08007"
"ACADEMIA Y VIRTUALIDAD","2011-0731","2011-0731","UNIV MILITAR NUEVA GRANADA","FAC DERECHO, SEDE BOGOTA CRA 11 N 101-80, BOGOTA, COLOMBIA, 00000"
"ACADEMIC JOURNAL OF MODERN PHILOLOGY","2299-7164","2353-3218","POLISH ACAD SCI, WROCLAW BRANCH","POLISH ACAD SCI, WROCLAW BRANCH, WROCLAW, POLAND, 00000"
"ACADEMIC PATHOLOGY","2374-2895","2374-2895","SAGE PUBLICATIONS INC","2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320"
"ACADEMY OF MANAGEMENT DISCOVERIES","2168-1007","2168-1007","ACAD MANAGEMENT","PACE UNIV, PO BOX 3020, 235 ELM RD, BRIARCLIFF MANOR, USA, NY, 10510-8020"
"ACCIONES E INVESTIGACIONES SOCIALES","1132-192X","2340-4507","UNIV ZARAGOZA, ESCUELA UNIV ESTUDIOS SOCIALES","VIOLANTE HUNDRIA, 23, ZARAGOZA, SPAIN, 50009"
"ACCION PSICOLOGICA","1578-908X","2255-1271","UNIV NACL EDUCACION DISTANCIA-UNED, FAC PSICOLOGIA","CALLE JUAN DEL ROSAL 10, MADRID, SPAIN, 28040"
"ACCOUNTING ECONOMICS AND LAW-A CONVIVIUM","2194-6051","2152-2820","WALTER DE GRUYTER GMBH","GENTHINER STRASSE 13, BERLIN, GERMANY, D-10785"
"ACCOUNTING EDUCATION","0963-9284","1468-4489","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN"
"ACCOUNTING HISTORIANS JOURNAL","0148-4184","2327-4468","AMER ACCOUNTING ASSOC","5717 BESSIE DR, SARASOTA, USA, FL, 34233"
"ACCOUNTING HISTORY","1032-3732","1749-3374","SAGE PUBLICATIONS LTD","1 OLIVERS YARD, 55 CITY ROAD, LONDON, ENGLAND, EC1Y 1SP"
"ACCOUNTING HISTORY REVIEW","2155-2851","2155-286X","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN"
