institution,period,euro,doi,is_hybrid,publisher,journal_full_title,issn,issn_print,issn_electronic,issn_l,license_ref,indexed_in_crossref,pmid,pmcid,ut,url,doaj,Scimago_idx,WoS_idx,doaj_idx,cr_citation
Goettingen U,2013,1332.8,10.1002/ece3.564,FALSE,Wiley-Blackwell,Ecology and Evolution,2045-7758,NA,NA,2045-7758,http://doi.wiley.com/10.1002/tdm_license_1.1,TRUE,23789058,PMC3686182,ut:000320274400003,NA,TRUE,TRUE,TRUE,TRUE,37
Goettingen U,2013,1025.75,10.1063/1.4816715,FALSE,AIP Publishing,AIP Advances,2158-3226,2158-3226,2158-3226,2158-3226,NA,TRUE,NA,NA,ut:000322527000020,NA,TRUE,TRUE,TRUE,TRUE,35
Goettingen U,2013,1055.23,10.1088/1367-2630/15/1/013055,FALSE,IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,1367-2630,NA,TRUE,NA,NA,ut:000314341600002,NA,TRUE,TRUE,TRUE,TRUE,20
Goettingen U,2013,1338.93,10.1088/1367-2630/15/10/103008,FALSE,IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,1367-2630,http://creativecommons.org/licenses/by/3.0/,TRUE,NA,NA,ut:000325322400001,NA,TRUE,TRUE,TRUE,TRUE,11
Goettingen U,2013,1338.93,10.1088/1367-2630/15/11/113001,FALSE,IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,1367-2630,http://creativecommons.org/licenses/by/3.0/,TRUE,NA,NA,ut:000326376600001,NA,TRUE,TRUE,TRUE,TRUE,18
Goettingen U,2013,1001.39,10.1088/1367-2630/15/2/023017,FALSE,IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,1367-2630,http://creativecommons.org/licenses/by-nc-sa/3.0/,TRUE,NA,NA,ut:000314868000004,NA,TRUE,TRUE,TRUE,TRUE,33
Goettingen U,2013,1094.09,10.1088/1367-2630/15/4/045025,FALSE,IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,1367-2630,http://creativecommons.org/licenses/by/3.0/,TRUE,NA,NA,ut:000318225600003,NA,TRUE,TRUE,TRUE,TRUE,6
Goettingen U,2013,1178.1,10.1088/1367-2630/15/5/053045,FALSE,IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,1367-2630,http://creativecommons.org/licenses/by/3.0/,TRUE,NA,NA,ut:000319656300003,NA,TRUE,TRUE,TRUE,TRUE,35
Goettingen U,2013,1321.13,10.1088/1367-2630/15/8/085024,FALSE,IOP Publishing,New Journal of Physics,1367-2630,NA,1367-2630,1367-2630,http://creativecommons.org/licenses/by/3.0/,TRUE,NA,NA,ut:000323367900008,NA,TRUE,TRUE,TRUE,TRUE,20
Goettingen U,2013,1267.35,10.1093/nar/gkt283,FALSE,Oxford University Press (OUP),Nucleic Acids Research,0305-1048,0305-1048,1362-4962,0305-1048,http://creativecommons.org/licenses/by-nc/3.0/,TRUE,23620293,PMC3692126,ut:000323603200002,NA,TRUE,TRUE,TRUE,TRUE,25
Goettingen U,2013,1902.24,10.1136/bmjopen-2013-003098,FALSE,BMJ,BMJ Open,2044-6055,2044-6055,2044-6055,2044-6055,NA,TRUE,24038003,PMC3773641,ut:000330541900012,NA,TRUE,TRUE,TRUE,TRUE,1
Goettingen U,2013,1295.92,10.1155/2013/526860,FALSE,Hindawi Publishing Corporation,Clinical and Developmental Immunology,1740-2522,1740-2522,1740-2530,1740-2522,http://creativecommons.org/licenses/by/3.0/,TRUE,24324507,PMC3845433,ut:000327262600001,NA,TRUE,FALSE,FALSE,TRUE,45
Goettingen U,2013,1661.96,10.1167/13.1.24,FALSE,Association for Research in Vision and Ophthalmology (ARVO),Journal of Vision,1534-7362,NA,1534-7362,1534-7362,NA,TRUE,23335321,NA,ut:000314516900024,NA,TRUE,TRUE,TRUE,TRUE,21
Goettingen U,2013,1389.94,10.1177/1758736013499770,FALSE,SAGE Publications,Journal of Dental Biomechanics,1758-7360,NA,1758-7360,1758-7360,NA,TRUE,24019849,PMC3764984,NA,NA,FALSE,FALSE,FALSE,FALSE,5
Goettingen U,2013,1128.12,10.1186/1297-9686-45-29,FALSE,Springer Science + Business Media,Genetics Selection Evolution,1297-9686,1297-9686,1297-9686,0999-193X,http://creativecommons.org/licenses/by/2.0,TRUE,23902427,PMC3750290,ut:000322908700001,NA,TRUE,FALSE,TRUE,TRUE,13
Goettingen U,2013,1461.32,10.1186/1471-213x-13-25,FALSE,Springer Science + Business Media,BMC Developmental Biology,1471-213X,1471-213X,NA,1471-213X,NA,TRUE,23777260,PMC3698154,ut:000321137000001,NA,TRUE,TRUE,TRUE,TRUE,6
Goettingen U,2013,1451.8,10.1186/1471-213x-13-27,FALSE,Springer Science + Business Media,BMC Developmental Biology,1471-213X,1471-213X,NA,1471-213X,NA,TRUE,23845038,PMC3728215,ut:000322482500001,NA,TRUE,TRUE,TRUE,TRUE,22
