title,doi,pmid,pmc,altmetric_jid,issns,journal,cohorts.pub,cohorts.sci,abstract,abstract_source,context.all.count,context.all.mean,context.all.rank,context.all.pct,context.all.higher_than,context.journal.count,context.journal.mean,context.journal.rank,context.journal.pct,context.journal.higher_than,context.similar_age_3m.count,context.similar_age_3m.mean,context.similar_age_3m.rank,context.similar_age_3m.pct,context.similar_age_3m.higher_than,context.similar_age_journal_3m.count,context.similar_age_journal_3m.mean,context.similar_age_journal_3m.rank,context.similar_age_journal_3m.pct,context.similar_age_journal_3m.higher_than,authors1,authors2,authors3,authors4,authors5,authors6,authors7,authors8,authors9,authors10,authors11,type,altmetric_id,schema,is_oa,cited_by_posts_count,cited_by_rh_count,cited_by_tweeters_count,cited_by_accounts_count,last_updated,score,history.1y,history.6m,history.3m,history.1m,history.1w,history.6d,history.5d,history.4d,history.3d,history.2d,history.1d,history.at,url,added_on,published_on,readers.citeulike,readers.mendeley,readers.connotea,readers_count,images.small,images.medium,images.large,details_url,arxiv_id,ads_id,publisher_subjects.name,publisher_subjects.scheme,scopus_subjects1,scopus_subjects2,cited_by_fbwalls_count,issns1,issns2,cited_by_peer_review_sites_count,subjects,scopus_subjects3,scopus_subjects4,publisher_subjects.name1,publisher_subjects.name2,publisher_subjects.scheme1,publisher_subjects.scheme2,cohorts.doc,cohorts.com,cited_by_feeds_count,cited_by_wikipedia_count,publisher_subjects.name3,publisher_subjects.scheme3,cited_by_patents_count,subjects1,subjects2,scopus_subjects5,publisher_subjects.name4,publisher_subjects.scheme4,cited_by_msm_count,cited_by_gplus_count,publisher_subjects.name5,publisher_subjects.scheme5,subjects3,uri,authors,authors12,cited_by_rdts_count,cited_by_policies_count,cited_by_qna_count,authors13,authors14,authors15,publisher_subjects.name6,publisher_subjects.name7,publisher_subjects.name8,publisher_subjects.scheme6,publisher_subjects.scheme7,publisher_subjects.scheme8,scopus_subjects6,scopus_subjects7,scopus_subjects8,cited_by_videos_count,cited_by_weibo_count,handles,handle,authors16,authors17,authors18,authors19,authors20,authors21,authors22,authors23,authors24,authors25,authors26,authors27,authors28,authors29,authors30,authors31,authors32,authors33,publisher_subjects.name9,publisher_subjects.name10,publisher_subjects.scheme9,publisher_subjects.scheme10,authors34,authors35,authors36,authors37,authors38,authors39,authors40,authors41,authors42,authors43,authors44,issns3,authors45,authors46,authors47,authors48,authors49,authors50,authors51,authors52,urn,authors53,authors54,authors55,authors56,authors57,authors58,authors59,authors60,authors61,authors62,authors63,authors64,authors65,authors66,authors67,authors68,authors69,authors70,authors71,authors72,authors73,authors74,authors75,authors76,authors77,authors78,authors79,authors80,authors81,authors82,authors83,authors84,authors85,authors86,authors87,authors88,authors89,authors90,authors91,authors92,authors93,authors94,authors95,authors96,authors97,authors98,authors99,authors100,authors101,authors102,authors103,authors104,authors105,authors106,authors107,authors108,authors109,authors110,authors111,authors112,authors113,authors114,authors115,authors116,authors117,authors118
Multi-factor climate change effects on insect herbivore performance,10.1002/ece3.564,23789058,PMC3686182,53222dc82a83ee27268b4570,2045-7758,Ecology and Evolution,1,1,"The impact of climate change on herbivorous insects can have far-reaching consequences for ecosystem processes. However, experiments investigating the combined effects of multiple climate change drivers on herbivorous insects are scarce. We independently manipulated three climate change drivers (CO2, warming, drought) in a Danish heathland ecosystem. The experiment was established in 2005 as a full factorial split-plot with 6 blocks × 2 levels of CO2 × 2 levels of warming × 2 levels of drought = 48 plots. In 2008, we exposed 432 larvae (n = 9 per plot) of the heather beetle (Lochmaea suturalis Thomson), an important herbivore on heather, to ambient versus elevated drought, temperature, and CO2 (plus all combinations) for 5 weeks. Larval weight and survival were highest under ambient conditions and decreased significantly with the number of climate change drivers. Weight was lowest under the drought treatment, and there was a three-way interaction between time, CO2, and drought. Survival was lowest when drought, warming, and elevated CO2 were combined. Effects of climate change drivers depended on other co-acting factors and were mediated by changes in plant secondary compounds, nitrogen, and water content. Overall, drought was the most important factor for this insect herbivore. Our study shows that weight and survival of insect herbivores may decline under future climate. The complexity of insect herbivore responses increases with the number of combined climate change drivers.",pubmed,14521746,8.4719460573005,7497782,47,6927589,4497,9.6591912811388,2533,42,1920,151795,7.837462179006,62221,58,88326,36,6.2029714285714,26,27,10,Christoph Scherber,David J. Gladbach,Karen Stevnbak,Rune Juelsborg Karsten,Inger Kappel Schmidt,Anders Michelsen,Kristian Rost Albert,Klaus Steenberg Larsen,Teis Nørgaard Mikkelsen,Claus Beier,Søren Christensen,article,1400321,1.5.4,FALSE,4,1,2,3,1568972963,2.5,1,0,0,0,0,0,0,0,0,0,0,2.5,http://dx.doi.org/10.1002/ece3.564,1366402561,1365984000,2,115,0,117,https://badges.altmetric.com/?size=64&score=3&types=ttttt111,https://badges.altmetric.com/?size=100&score=3&types=ttttt111,https://badges.altmetric.com/?size=180&score=3&types=ttttt111,http://www.altmetric.com/details.php?citation_id=1400321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Experimental quantification of entanglement through heat capacity,10.1088/1367-2630/15/11/113001,NA,NA,4f6fa50e3cf058f6100031c9,1367-2630,New Journal of Physics,2,NA,NA,NA,12366736,7.6478086506929,9481091,20,2487635,4634,3.6353252751996,2169,48,2246,172418,7.771907433722,108717,32,55684,94,11.443032258065,39,55,52,H Singh,T Chakraborty,D Das,H S Jeevan,Y Tokiwa,P Gegenwart,C Mitra,NA,NA,NA,NA,article,1896994,1.5.4,FALSE,2,NA,2,2,1384185918,0.75,0,0,0,0,0,0,0,0,0,0,0,0.75,http://dx.doi.org/10.1088/1367-2630/15/11/113001,1384185935,1383264000,0,17,0,17,https://badges.altmetric.com/?size=64&score=1&types=tttttttt,https://badges.altmetric.com/?size=100&score=1&types=tttttttt,https://badges.altmetric.com/?size=180&score=1&types=tttttttt,http://www.altmetric.com/details.php?citation_id=1896994,1309.7767,2013NJPh...15k3001S,Physical Sciences,era,Physical Sciences,Physics and Astronomy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
The small-scale dynamo: breaking universality at high Mach numbers,10.1088/1367-2630/15/2/023017,NA,NA,4f6fa50e3cf058f6100031c9,1367-2630,New Journal of Physics,1,NA,NA,NA,12380321,7.6324461164039,9882018,11,1409001,4014,3.9354153999502,2168,35,1445,264854,6.8812927850544,184774,16,42499,200,4.0314170854271,79,48,97,Dominik R G Schleicher,Jennifer Schober,Christoph Federrath,Stefano Bovino,Wolfram Schmidt,NA,NA,NA,NA,NA,NA,article,1188674,1.5.4,FALSE,2,NA,1,2,1360348555,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,http://dx.doi.org/10.1088/1367-2630/15/2/023017,1358777918,1360281600,0,12,0,12,https://badges.altmetric.com/?size=64&score=1&types=ttttffff,https://badges.altmetric.com/?size=100&score=1&types=ttttffff,https://badges.altmetric.com/?size=180&score=1&types=ttttffff,http://www.altmetric.com/details.php?citation_id=1188674,1301.4371,2013NJPh...15b3017S,Physical Sciences,era,Physical Sciences,Physics and Astronomy,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Impairment of brainstem implicit learning paradigms differentiates multiple system atrophy (MSA) from idiopathic Parkinson syndrome,10.1136/bmjopen-2013-003098,24038003,NA,4f6fa60e3cf058f610006cc0,NA,BMJ Open,NA,NA,"Learning as measured by eyeblink classical conditioning is preserved in patients with idiopathic Parkinson's disease, but severely affected in patients with progressive supranuclear palsy. We here sought to clarify whether procedural learning is impaired in multiple system atrophy (MSA), and whether it may be helpful for the differentiation of parkinsonian syndromes.",pubmed,3627006,4.9509722374284,2018661,25,931383,2126,10.994711529412,1489,17,381,97367,7.769638744531,52436,26,26222,176,11.823085714286,124,22,40,Friederike von Lewinski,Michaela Schwan,Walter Paulus,Claudia Trenkwalder,Martin Sommer,NA,NA,NA,NA,NA,NA,article,2748302,1.5.4,FALSE,3,NA,NA,1,1375228800,1,0,0,0,0,0,0,0,0,0,0,0,1,http://dx.doi.org/10.1136/bmjopen-2013-003098,1412659555,1379030400,0,13,0,13,https://badges.altmetric.com/?size=64&score=1&types=eeeeeeee,https://badges.altmetric.com/?size=100&score=1&types=eeeeeeee,https://badges.altmetric.com/?size=180&score=1&types=eeeeeeee,http://www.altmetric.com/details.php?citation_id=2748302,NA,NA,NA,NA,NA,NA,NA,,2044-6055,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Modification of Intestinal Microbiota and Its Consequences for Innate Immune Response in the Pathogenesis of Campylobacteriosis,10.1155/2013/526860,24324507,NA,4f6fa4ea3cf058f610002544,NA,Clinical & Developmental Immunology,2,NA,"Campylobacter jejuni is the leading cause of bacterial food-borne gastroenteritis in the world, and thus one of the most important public health concerns. The initial stage in its pathogenesis after ingestion is to overcome colonization resistance that is maintained by the human intestinal microbiota. But how it overcomes colonization resistance is unknown. Recently developed humanized gnotobiotic mouse models have provided deeper insights into this initial stage and host's immune response. These studies have found that a fat-rich diet modifies the composition of the conventional intestinal microbiota by increasing the Firmicutes and Proteobacteria loads while reducing the Actinobacteria and Bacteroidetes loads creating an imbalance that exposes the intestinal epithelial cells to adherence. Upon adherence, deoxycholic acid stimulates C. jejuni to synthesize Campylobacter invasion antigens, which invade the epithelial cells. In response, NF- κ B triggers the maturation of dendritic cells. Chemokines produced by the activated dendritic cells initiate the clearance of C. jejuni cells by inducing the actions of neutrophils, B-lymphocytes, and various subsets of T-cells. This immune response causes inflammation. This review focuses on the progress that has been made on understanding the relationship between intestinal microbiota shift, establishment of C. jejuni infection, and consequent immune response.",pubmed,13330592,8.0337436265072,8356327,23,3169451,357,4.3200168539326,221,24,86,249698,7.4429979535198,130667,36,90803,5,1.675,3,20,1,Wycliffe Omurwa Masanta,Markus M. Heimesaat,Stefan Bereswill,Abdul Malik Tareen,Raimond Lugert,Uwe Groß,Andreas E. Zautner,NA,NA,NA,NA,article,1972734,1.5.4,FALSE,3,NA,2,2,1389522773,1,0,0,0,0,0,0,0,0,0,0,0,1,http://dx.doi.org/10.1155/2013/526860,1386783475,1356998400,0,91,0,91,https://badges.altmetric.com/?size=64&score=1&types=tttttttt,https://badges.altmetric.com/?size=100&score=1&types=tttttttt,https://badges.altmetric.com/?size=180&score=1&types=tttttttt,http://www.altmetric.com/details.php?citation_id=1972734,NA,NA,Immunology,era,Health Sciences,Life Sciences,NA,1740-2522,1740-2530,NA,allergyandimmunology,Medicine,Immunology and Microbiology,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tc-knirps plays different roles in the specification of antennal and mandibular parasegment boundaries and is regulated by a pair-rule gene in the beetle Tribolium castaneum,10.1186/1471-213x-13-25,23777260,NA,4f6fa4d03cf058f6100007b2,1471-213X,BMC Developmental Biology,1,NA,"The Drosophila larval head is evolutionarily derived at the genetic and morphological level. In the beetle Tribolium castaneum, development of the larval head more closely resembles the ancestral arthropod condition. Unlike in Drosophila, a knirps homologue (Tc-kni) is required for development of the antennae and mandibles. However, published Tc-kni data are restricted to cuticle phenotypes and Tc-even-skipped and Tc-wingless stainings in knockdown embryos. Hence, it has remained unclear whether the entire antennal and mandibular segments depend on Tc-kni function, and whether the intervening intercalary segment is formed completely. We address these questions with a detailed examination of Tc-kni function.",pubmed,3631967,4.9253635474614,2898468,2,80983,131,2.4199230769231,101,1,2,85284,7.1167326899853,67729,1,352,8,1.4571428571429,6,1,0,Andrew D Peel,Julia Schanda,Daniela Grossmann,Frank Ruge,Georg Oberhofer,Anna F Gilles,Johannes B Schinko,Martin Klingler,Gregor Bucher,NA,NA,article,1573210,1.5.4,FALSE,1,NA,1,1,1371725633,0.25,0,0,0,0,0,0,0,0,0,0,0,0.25,http://dx.doi.org/10.1186/1471-213x-13-25,1371800458,1356998400,0,22,0,22,https://badges.altmetric.com/?size=64&score=1&types=tttttttt,https://badges.altmetric.com/?size=100&score=1&types=tttttttt,https://badges.altmetric.com/?size=180&score=1&types=tttttttt,http://www.altmetric.com/details.php?citation_id=1573210,NA,NA,NA,NA,"Biochemistry, Genetics and Molecular Biology",Life Sciences,NA,NA,NA,NA,embryology,NA,NA,Biological Sciences,Medical And Health Sciences,era,era,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
An ancient process in a modern mollusc: early development of the shell in Lymnaea stagnalis,10.1186/1471-213x-13-27,23845038,NA,4f6fa4d03cf058f6100007b2,1471-213X,BMC Developmental Biology,2,NA,"The morphological variety displayed by the molluscan shell underlies much of the evolutionary success of this phylum. However, the broad diversity of shell forms, sizes, ornamentations and functions contrasts with a deep conservation of early cell movements associated with the initiation of shell construction. This process begins during early embryogenesis with a thickening of an ectodermal, 'dorsal' (opposite the blastopore) population of cells, which then invaginates into the blastocoel to form the shell gland. The shell gland evaginates to form the shell field, which then expands and further differentiates to eventually become the adult shell-secreting organ commonly known as the mantle. Despite the deep conservation of the early shell forming developmental program across molluscan classes, little is known about the fine-scale cellular or molecular processes that underlie molluscan shell development.",pubmed,3633255,4.9221505741186,2740058,20,735374,131,2.4021846153846,95,23,31,84861,7.2994814518031,62945,20,17506,7,1.2,4,42,3,Jennifer Hohagen,Daniel J Jackson,NA,NA,NA,NA,NA,NA,NA,NA,NA,article,1620560,1.5.4,FALSE,2,NA,2,2,1373626213,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,http://dx.doi.org/10.1186/1471-213x-13-27,1373621062,1356998400,0,56,0,56,https://badges.altmetric.com/?size=64&score=1&types=tttttttt,https://badges.altmetric.com/?size=100&score=1&types=tttttttt,https://badges.altmetric.com/?size=180&score=1&types=tttttttt,http://www.altmetric.com/details.php?citation_id=1620560,NA,NA,NA,NA,"Biochemistry, Genetics and Molecular Biology",Life Sciences,NA,NA,NA,NA,embryology,NA,NA,Biological Sciences,Medical And Health Sciences,era,era,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
True lemurs…true species - species delimitation using multiple data sources in the brown lemur complex,10.1186/1471-2148-13-233,24159931,NA,4f6fa4d03cf058f6100007b5,1471-2148,BMC Evolutionary Biology,3,NA,"Species are the fundamental units in evolutionary biology. However, defining them as evolutionary independent lineages requires integration of several independent sources of information in order to develop robust hypotheses for taxonomic classification. Here, we exemplarily propose an integrative framework for species delimitation in the ""brown lemur complex"" (BLC) of Madagascar, which consists of seven allopatric populations of the genus Eulemur (Primates: Lemuridae), which were sampled extensively across northern, eastern and western Madagascar to collect fecal samples for DNA extraction as well as recordings of vocalizations. Our data base was extended by including museum specimens with reliable identification and locality information for skull shape and pelage color analysis.",pubmed,4507509,5.1386389830674,2302865,35,1599851,1431,7.3008405594406,981,21,314,102417,7.7815809639121,50719,35,36734,58,7.3881052631579,43,24,14,Matthias Markolf,Hanitriniaina Rakotonirina,Claudia Fichtel,Phillip von Grumbkow,Markus Brameier,Peter M Kappeler,NA,NA,NA,NA,NA,article,1862888,1.5.4,FALSE,3,NA,3,3,1382963853,1,0,0,0,0,0,0,0,0,0,0,0,1,http://dx.doi.org/10.1186/1471-2148-13-233,1382911483,1356998400,2,76,0,78,https://badges.altmetric.com/?size=64&score=1&types=tttttttt,https://badges.altmetric.com/?size=100&score=1&types=tttttttt,https://badges.altmetric.com/?size=180&score=1&types=tttttttt,http://www.altmetric.com/details.php?citation_id=1862888,NA,NA,NA,NA,Agricultural and Biological Sciences,Life Sciences,NA,NA,NA,NA,biology,NA,NA,Evolutionary Biology,Genetics,era,era,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rapid evolution of cooperation in group-living animals,10.1186/1471-2148-13-235,24168033,NA,4f6fa4d03cf058f6100007b5,1471-2148,BMC Evolutionary Biology,5,NA,"It is often assumed that evolution takes place on very large timescales. Countering this assumption, rapid evolutionary dynamics are increasingly documented in biological systems, e.g. in the context of predator-prey interactions, species coexistence and invasion. It has also been shown that rapid evolution can facilitate the evolution of cooperation. In this context often evolutionary dynamics influence population dynamics, but in spatial models rapid evolutionary dynamics also emerge with constant population sizes. Currently it is not clear how well these spatial models apply to species in which individuals are not embedded in fixed spatial structures. To address this issue we employ an agent-based model of group living individuals. We investigate how positive assortment between cooperators and defectors and pay-off differences between cooperators and defectors depend on the occurrence of evolutionary dynamics.",pubmed,12373386,7.6889862031961,1150449,90,11223146,2341,10.154211965812,432,81,1914,172782,7.752199304322,17840,89,154942,14,9.6787692307692,5,64,9,Mathias Franz,Oliver Schülke,Julia Ostner,NA,NA,NA,NA,NA,NA,NA,NA,article,1867436,1.5.4,FALSE,10,NA,8,9,1396498509,11.476,0,0,0,0,0,0,0,0,0,0,0,11.476,http://dx.doi.org/10.1186/1471-2148-13-235,1383062207,1356998400,1,35,0,36,https://badges.altmetric.com/?size=64&score=12&types=bttttttt,https://badges.altmetric.com/?size=100&score=12&types=bttttttt,https://badges.altmetric.com/?size=180&score=12&types=bttttttt,http://www.altmetric.com/details.php?citation_id=1867436,NA,NA,NA,NA,Agricultural and Biological Sciences,Life Sciences,NA,NA,NA,NA,biology,NA,NA,Evolutionary Biology,Genetics,era,era,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
The thorax musculature of Anisoptera (Insecta: Odonata) nymphs and its evolutionary relevance,10.1186/1471-2148-13-237,24180622,NA,4f6fa4d03cf058f6100007b5,1471-2148,BMC Evolutionary Biology,1,NA,Among the winged insects (Pterygota) the Odonata (dragon- and damselflies) are special for several reasons. They are strictly aerial predators showing remarkable flight abilities and their thorax morphology differs significantly from that of other Pterygota in terms of the arrangement and number of muscles. Even within one individual the musculature is significantly different between the nymphal and adult stage.,pubmed,8904502,7.3797858397586,6785452,13,1181634,2086,9.7458282973621,1817,6,132,149968,7.3231977568401,96804,17,26761,54,9.4538867924528,49,7,4,Sebastian Büsse,Thomas Hörnschemeyer,NA,NA,NA,NA,NA,NA,NA,NA,NA,article,1882380,1.5.4,FALSE,1,NA,1,1,1383616572,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,http://dx.doi.org/10.1186/1471-2148-13-237,1383616591,1356998400,0,22,0,22,https://badges.altmetric.com/?size=64&score=1&types=tttttttt,https://badges.altmetric.com/?size=100&score=1&types=tttttttt,https://badges.altmetric.com/?size=180&score=1&types=tttttttt,http://www.altmetric.com/details.php?citation_id=1882380,NA,NA,NA,NA,Agricultural and Biological Sciences,Life Sciences,NA,NA,NA,NA,biology,NA,NA,Evolutionary Biology,Genetics,era,era,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
